"","Rank","Player","PTS","Date","Tm","Year"
"1",1,"Wilt Chamberlain*",100,1962-03-02,"PHW",1962
"2",2,"Kobe Bryant*",81,2006-01-22,"LAL",2006
"3",3,"Wilt Chamberlain*",78,1961-12-08,"PHW",1962
"4",4,"Luka Dončić",73,2024-01-26,"DAL",2024
"5",NA,"David Thompson*",73,1978-04-09,"DEN",1978
"6",NA,"Wilt Chamberlain*",73,1962-11-16,"SFW",1963
"7",NA,"Wilt Chamberlain*",73,1962-01-13,"PHW",1962
"8",8,"Wilt Chamberlain*",72,1962-11-03,"SFW",1963
"9",9,"Damian Lillard",71,2023-02-26,"POR",2023
"10",NA,"Donovan Mitchell",71,2023-01-02,"CLE",2023
"11",NA,"David Robinson*",71,1994-04-24,"SAS",1994
"12",NA,"Elgin Baylor*",71,1960-11-15,"LAL",1961
"13",13,"Joel Embiid",70,2024-01-22,"PHI",2024
"14",NA,"Devin Booker",70,2017-03-24,"PHO",2017
"15",NA,"Wilt Chamberlain*",70,1963-03-10,"SFW",1963
"16",16,"Michael Jordan*",69,1990-03-28,"CHI",1990
"17",17,"Pete Maravich*",68,1977-02-25,"NOJ",1977
"18",NA,"Wilt Chamberlain*",68,1967-12-16,"PHI",1968
"19",19,"Wilt Chamberlain*",67,1963-01-11,"SFW",1963
"20",NA,"Wilt Chamberlain*",67,1962-02-25,"PHW",1962
"21",NA,"Wilt Chamberlain*",67,1962-02-17,"PHW",1962
"22",NA,"Wilt Chamberlain*",67,1961-03-09,"PHW",1961
"23",23,"Wilt Chamberlain*",66,1969-02-09,"LAL",1969
"24",24,"Kobe Bryant*",65,2007-03-16,"LAL",2007
"25",NA,"Wilt Chamberlain*",65,1966-02-07,"PHI",1966
"26",NA,"Wilt Chamberlain*",65,1962-02-27,"PHW",1962
"27",NA,"Wilt Chamberlain*",65,1962-02-13,"PHW",1962
"28",28,"Giannis Antetokounmpo",64,2023-12-13,"MIL",2024
"29",NA,"Michael Jordan*",64,1993-01-16,"CHI",1993
"30",NA,"Rick Barry*",64,1974-03-26,"GSW",1974
"31",NA,"Elgin Baylor*",64,1959-11-08,"MNL",1960
"32",32,"George Gervin*",63,1978-04-09,"SAS",1978
"33",NA,"Wilt Chamberlain*",63,1964-11-26,"SFW",1965
"34",NA,"Wilt Chamberlain*",63,1962-12-14,"SFW",1963
"35",NA,"Jerry West*",63,1962-01-17,"LAL",1962
"36",NA,"Elgin Baylor*",63,1961-12-08,"LAL",1962
"37",NA,"Joe Fulks*",63,1949-02-10,"PHW",1949
"38",38,"Devin Booker",62,2024-01-26,"PHO",2024
"39",NA,"Karl-Anthony Towns",62,2024-01-22,"MIN",2024
"40",NA,"Stephen Curry",62,2021-01-03,"GSW",2021
"41",NA,"Carmelo Anthony",62,2014-01-24,"NYK",2014
"42",NA,"Kobe Bryant*",62,2005-12-20,"LAL",2006
"43",NA,"Tracy McGrady*",62,2004-03-10,"ORL",2004
"44",NA,"Wilt Chamberlain*",62,1966-03-03,"PHI",1966
"45",NA,"Wilt Chamberlain*",62,1964-11-15,"SFW",1965
"46",NA,"Wilt Chamberlain*",62,1963-01-29,"SFW",1963
"47",NA,"Wilt Chamberlain*",62,1962-01-21,"PHW",1962
"48",NA,"Wilt Chamberlain*",62,1962-01-17,"PHW",1962
"49",NA,"Wilt Chamberlain*",62,1962-01-14,"PHW",1962
"50",50,"Jalen Brunson",61,2024-03-29,"NYK",2024
"51",NA,"Damian Lillard",61,2020-08-11,"POR",2020
"52",NA,"Damian Lillard",61,2020-01-20,"POR",2020
"53",NA,"James Harden",61,2019-03-22,"HOU",2019
"54",NA,"James Harden",61,2019-01-23,"HOU",2019
"55",NA,"LeBron James",61,2014-03-03,"MIA",2014
"56",NA,"Kobe Bryant*",61,2009-02-02,"LAL",2009
"57",NA,"Shaquille O'Neal*",61,2000-03-06,"LAL",2000
"58",NA,"Karl Malone*",61,1990-01-27,"UTA",1990
"59",NA,"Michael Jordan*",61,1987-04-16,"CHI",1987
