"Rk▲","Team","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Year","Num_Teams"
1,"Washington Bullets*",43.6,95.1,0.458,0.9,2.9,0.307,18.9,25,0.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107,1980,22
2,"Utah Jazz",41.2,83.1,0.496,0.7,2.3,0.319,19.2,23.7,0.809,11.8,28.8,40.6,24.5,8,4.4,18.8,24.5,102.4,1980,22
3,"Seattle SuperSonics*",43.3,92.3,0.47,0.7,2.3,0.312,21.1,27.5,0.768,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5,1980,22
4,"San Diego Clippers",43,91.4,0.47,2.2,6.6,0.326,19.5,26.4,0.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6,1980,22
5,"San Antonio Spurs*",47,94.4,0.498,0.6,2.5,0.252,24.7,30.8,0.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,1980,22
6,"Portland Trail Blazers*",41.6,87.4,0.476,0.3,1.6,0.197,19,25.6,0.743,15.8,29.4,45.2,23.1,8.6,5.8,18.9,23.9,102.5,1980,22
7,"Phoenix Suns*",43.5,88.2,0.493,0.8,3.4,0.243,23.2,30.1,0.773,13.1,30,43,27.8,11.1,4.2,19.9,22.6,111.1,1980,22
8,"Philadelphia 76ers*",43,87.3,0.492,0.3,1.5,0.216,22.9,29.6,0.772,14.5,32.1,46.6,27.1,9.7,8,20.8,22.7,109.1,1980,22
9,"New York Knicks",46.4,93.6,0.496,0.5,2.3,0.22,20.7,27.7,0.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114,1980,22
10,"New Jersey Nets",42.1,91.5,0.461,1,3.6,0.285,23,29.3,0.782,15,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3,1980,22
11,"Milwaukee Bucks*",44.9,92.1,0.488,0.6,1.9,0.323,19.6,25.6,0.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,1980,22
12,"Los Angeles Lakers*",47.5,89.9,0.529,0.2,1.2,0.2,19.8,25.5,0.775,13.2,32.4,45.6,29.4,9.4,6.7,20,21.8,115.1,1980,22
13,"Kansas City Kings*",43.7,91.3,0.478,0.3,1.4,0.219,20.4,27.4,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26,108,1980,22
14,"Indiana Pacers",44.4,93.8,0.473,1.1,3.8,0.28,21.4,28.5,0.751,17,28.4,45.4,26.2,11,6.5,18.5,24.1,111.2,1980,22
15,"Houston Rockets*",43.9,91.4,0.48,1.3,4.6,0.274,21.7,28.4,0.766,17,27,44,26.2,9.5,4.5,19.1,23.5,110.8,1980,22
16,"Golden State Warriors",43,89.2,0.482,0.3,1.5,0.223,17.2,23.3,0.738,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6,1980,22
17,"Detroit Pistons",44.4,92.6,0.48,0.7,2.7,0.26,19.4,26.2,0.74,15,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9,1980,22
18,"Denver Nuggets",42.2,91.1,0.463,1,3.1,0.325,22.8,31,0.737,16,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3,1980,22
19,"Cleveland Cavaliers",46.5,98.1,0.474,0.4,2.3,0.193,20.8,26.9,0.772,15.9,29,45,25.7,9.3,4.2,16.7,23.6,114.1,1980,22
20,"Chicago Bulls",41,84.7,0.484,0.9,3.4,0.255,24.6,31.6,0.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5,1980,22
21,"Boston Celtics*",44.1,90.1,0.49,2,5.1,0.384,23.3,29.9,0.779,15,30,44.9,26.8,9.9,3.8,18.8,24.1,113.5,1980,22
22,"Atlanta Hawks*",39.8,85.7,0.464,0.2,0.9,0.173,24.9,32.3,0.771,16.7,29.3,46,23.3,9.5,6.6,18.2,28,104.5,1980,22
NA,"League Average",43.6,90.6,0.481,0.8,2.8,0.28,21.3,27.8,0.764,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,1980,22
NA,"Denver Nuggets",46.1,97.1,0.475,0.4,1.8,0.207,29.1,37.2,0.783,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8,1981,23
NA,"Milwaukee Bucks*",45.4,91.1,0.498,0.4,1.6,0.229,22,28.5,0.77,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1,1981,23
NA,"San Antonio Spurs*",43.5,88.7,0.491,0.2,1,0.176,25,32.5,0.769,15.9,31.5,47.4,25,8.4,7.8,18.7,25.8,112.3,1981,23
NA,"Philadelphia 76ers*",44.3,86.3,0.514,0.2,1,0.226,22.7,29.6,0.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7,1981,23
NA,"Los Angeles Lakers*",46.1,90,0.512,0.2,1.1,0.181,18.8,25.8,0.729,14.2,30.4,44.6,28.8,9.9,6.7,19,23.8,111.2,1981,23
NA,"Portland Trail Blazers*",45.6,91.9,0.496,0.3,1.8,0.169,19.2,26.7,0.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7,1981,23
NA,"Phoenix Suns*",43.7,89.3,0.49,0.4,2,0.217,22.1,29.6,0.745,15,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110,1981,23
NA,"Boston Celtics*",43.7,86.6,0.504,0.8,2.9,0.27,21.7,28.9,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,1981,23
NA,"Golden State Warriors",43.4,88.8,0.489,0.7,2.6,0.286,22.3,30.6,0.727,17.1,28.9,46,24.7,7.5,3.7,18.9,26.3,109.8,1981,23
NA,"Chicago Bulls*",42.2,84.2,0.501,0.5,2.2,0.212,24.2,31.3,0.774,15,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109,1981,23
